,Citation_Number,PMID,Ref,Link,Source,Title,Authors,JournalorConference,Year,Abstract,Ensemble,Include_TA_JG,Primary_reason_for_exclusion_TA_JG,Explanation_TA_JG,Update_April,Include_TA_SY,Primary_reason_for_exclusion_TA_SY,Explanation_TA_SY,Include_FR_SY,Primary_reason_for_exclusion_FR_SY,Explanation_FR_SY,Primary_goals,Phenotype,Pheno_cluster_category,Pheno_temporal_category,Pheno_SDOH_category,Pheno_binary,Pheno_categorical,Pheno_continuous,Pheno_temporal,Pheno_severity,Pheno_SDOH,Pheno_subtype_subgroup,Total_number_of_phenos,Data_source,Multi_sites_data,Research_network_name,Openly_available_data,Competition_data_name,Additional_data,Country,Institution_data_size,Study_cohort_size,Unstructured_data_type,Unstructured_data_language,Structured_data_type,CDM,Terminology,Traditional_ML_method,DL_method,CNN_subname,RNN_subname,FFNN_subname,BERT_subname,ML_type,Labels_for_training,Labels_for_testing,Embedding,Embedding_training_data,Training_size,Validating_size,Testing_size,NLP_software,Additional_ML_classification,Compare_with_rule_based,Compare_with_traditional_ML,Model_performance_metrics,Best_performing_model,Best_performing_name,Best_performing_AUROC,Best_performing_Fscore,Best_performing_PPV,Best_performing_Sensitivity,Best_performing_NPV,Best_performing_Specificity,Best_comparator_Rule,Best_comparator_Rule_AUROC,Best_comparator_Rule_Fscore,Best_comparator_Rule_PPV,Best_comparator_Rule_Sensitivity,Best_comparator_Rule_NPV,Best_comparator_Rule_Specificity,Best_comparator_DL,Best_comparator_DL_AUROC,Best_comparator_DL_Fscore,Best_comparator_DL_PPV,Best_comparator_DL_Sensitivity,Best_comparator_DL_Specificity,Best_comparator_traditional,Best_comparator_traditional_AUROC,Best_comparator_traditional_Fscore,Best_comparator_traditional_PPV,Best_comparator_traditional_Sensitivity,Best_comparator_traditional_NPV,Best_comparator_traditional_Specificity,Additional_traditional_ML,Additional_traditional_AUROC,Additional_traditional_Fscore,Additional_traditional_Fscore_PPV,Additional_traditional_Sensitivity,Additional_traditional_NPV,Additional_traditional_Specificity,Additional_DL,Additional_DL_AUROC,Additional_DL_Fscore,Additional_DL_PPV,Additional_DL_Sensitivity,Class_imbalance_method,Fairness_metrics,Fairness_validation_subgroups,Reported_demographics,Open_code,Open_code_link,Open_algorithm_details,Primary_contribution
2,108,29126253,108,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6251688/,Both,Enabling phenotypic big data with PheNorm,"Yu S, Ma Y, Gronsbell J, Cai T, Ananthakrishnan AN, Gainer VS, Churchill SE, Szolovits P, Murphy SN, Kohane IS, Liao KP, Cai T.",J Am Med Inform Assoc,2018,"Electronic health record (EHR)-based phenotyping infers whether a patient has a disease based on the information in his or her EHR. A human-annotated training set with gold-standard disease status labels is usually required to build an algorithm for phenotyping based on a set of predictive features. The time intensiveness of annotation and feature curation severely limits the ability to achieve high-throughput phenotyping. While previous studies have successfully automated feature curation, annotation remains a major bottleneck. In this paper, we present PheNorm, a phenotyping algorithm that does not require expert-labeled samples for training.The most predictive features, such as the number of International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) codes or mentions of the target phenotype, are normalized to resemble a normal mixture distribution with high area under the receiver operating curve (AUC) for prediction. The transformed features are then denoised and combined into a score for accurate disease classification.We validated the accuracy of PheNorm with 4 phenotypes: coronary artery disease, rheumatoid arthritis, Crohn's disease, and ulcerative colitis. The AUCs of the PheNorm score reached 0.90, 0.94, 0.95, and 0.94 for the 4 phenotypes, respectively, which were comparable to the accuracy of supervised algorithms trained with sample sizes of 100-300, with no statistically significant difference.The accuracy of the PheNorm algorithms is on par with algorithms trained with annotated samples. PheNorm fully automates the generation of accurate phenotyping algorithms and demonstrates the capacity for EHR-driven annotations to scale to the next level - phenotypic big data.",,1,,,NA,1,,,1,,,"This paper used log-normal mixture models on main ICD and NLP adjusting for healthcare utilization, and perform additional denoising with other features via dropout training, for the phenotyping of 4 diseases. It did not need gold-standard labels for training. ",Rheumatoid arthritis; Crohn's disease; Ulcerative colitis; Coronary artery disease,,,,4,NA,NA,NA,NA,NA,NA,4,Partners/MGB,0,i2b2,0,,"Publicly available knowledge sources, such as Wikipedia and Medscape",US,,46568 patients in rheumatoid arthritis datamart and 34033 patients in inflammatory bowel disease datamart,Clinical notes,English,Diagnosis,,ICD-9-CM; UMLS,PheNorm,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review,,,46568 patients in RA datamart and 34033 patients in inflammatory bowel disease datamart,,100-500 patients,NILE,,ICD coding,,AUROC,Traditional ML,PheNorm,0.937; 0.945; 0.933; 0.899,,,,,,ICD coding,0.868;  0.824;  0.812;  0.844,,,,,NA,,,,,NA,NA,L1 and L2 penalized logistic regression,0.935; 0.943;0.946;0.913,,,,NA,NA,XPRESS,0.896;0.905;0.913;0.836,,,,,NA,,NA,NA,NA,NA,,,,0,0,,CELEHS,Method
44,NA,31613361,109,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6798574/,Both,High-throughput multimodal automated phenotyping (MAP) with application to PheWAS,"Liao KP, Sun J, Cai TA, Link N, Hong C, Huang J, Huffman JE, Gronsbell J, Zhang Y, Ho YL, Castro V, Gainer V, Murphy SN, O'Donnell CJ, Gaziano JM, Cho K, Szolovits P, Kohane IS, Yu S, Cai T.",J Am Med Inform Assoc,2019,"Objective: Electronic health records linked with biorepositories are a powerful platform for translational studies. A major bottleneck exists in the ability to phenotype patients accurately and efficiently. The objective of this study was to develop an automated high-throughput phenotyping method integrating International Classification of Diseases (ICD) codes and narrative data extracted using natural language processing (NLP).Materials and Methods: We developed a mapping method for automatically identifying relevant ICD and NLP concepts for a specific phenotype leveraging the Unified Medical Language System. Along with health care utilization, aggregated ICD and NLP counts were jointly analyzed by fitting an ensemble of latent mixture models. The multimodal automated phenotyping (MAP) algorithm yields a predicted probability of phenotype for each patient and a threshold for classifying participants with phenotype yes/no. The algorithm was validated using labeled data for 16 phenotypes from a biorepository and further tested in an independent cohort phenome-wide association studies (PheWAS) for 2 single nucleotide polymorphisms with known associations.Results: The MAP algorithm achieved higher or similar AUC and F-scores compared to the ICD code across all 16 phenotypes. The features assembled via the automated approach had comparable accuracy to those assembled via manual curation (AUC(MAP) 0.943, AUC(manual) 0.941). The PheWAS results suggest that the MAP approach detected previously validated associations with higher power when compared to the standard PheWAS method based on ICD codes.Conclusion: The MAP approach increased the accuracy of phenotype definition while maintaining scalability, thereby facilitating use in studies requiring large-scale phenotyping, such as PheWAS.",,1,,,NA,1,,,1,,,"This paper used a weakly-supervised method that fits a multimodal clustering ensemble to ICD and NLP surrogates adjusting for healthcare utilization to identify 16 phenotypes, which outperforms the rule-based ICD code methods. It also validated the algorithm with PheWAS for known associations and yields higher power compared to standard PheWAS based on ICD codes. ",Asthma; Bipolar disorder; Schizophrenia; Breast cancer; Chronic obstructive pulmonary disease; Congestive heart failure; Coronary artery disease; Hypertension; Depression; Epilepsy; Multiple sclerosis; Rheumatoid arthritis; Type 1 diabetes mellitus; Type 2 diabetes mellitus; Crohn's disease; Ulcerative colitis,,,,16,NA,NA,NA,NA,NA,NA,16,Partners/MGB; Veteran's Affairs Million Veteran,1,i2b2,0,,"Publicly available knowledge sources, such as Wikipedia and Medscape",US,,17805 patients,Clinical notes,English,Diagnosis,,ICD-9; UMLS; Phecode,MAP,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review,,,17805 patients,,Average 545 patients for 16 phenotypes,NILE,,ICD coding,,Precision; NPV; F-score; AUROC,Traditional ML,MAP,0.942; 0.875; 0.913; 0.962; 0.915; 0.959; 0.965; 0.952; 0.932; 0.958; 0.935; 0.961; 0.981; 0.906; 0.963; 0.975,,0.95;0.693;0.489;0.993;0.866;0.659;0.876;0.986;0.935;0.937;0.91;0.947;0.604;0.891;0.955;0.898,,0.759;0.807;1;0.879;0.827;0.966;0.949;0.554;0.585;0.904;0.796;0.928;0.993;0.766;0.919;0.93,,ICD coding,0.787;0.788;0.841;0.974;0.847;0.888;0.927;0.854;0.855;0.894;0.93;0.932;0.866;0.825;0.941;0.95,,0.717;0.531;0.324;0.968;0.593;0.473;0.569;0.862;0.774;0.813;0.808;0.621;0.338;0.728;0.678;0.708,,0.681; 0.848; 0.992; 0.949; 0.866; 0.983; 0.955; 0.568; 0.771; 0.905; 0.906; 0.953; 0.963; 0.689; 0.917; 0.956,NA,,,,,NA,NA,Logistic regression,0.979; 0.962; 0.937;  0.84; 0.934; 0.935; 0.968; 0.941; 0.941; 0.957; 0.965; 0.924; 0.915;0.968 ; 0.958; 0.941,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,CELEHS,Method
67,110,32974638,110,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7751140/,Both,PheMap: a multi-resource knowledge base for high-throughput phenotyping within electronic health records,"Zheng NS, Feng Q, Kerchberger VE, Zhao J, Edwards TL, Cox NJ, Stein CM, Roden DM, Denny JC, Wei WQ.",J Am Med Inform Assoc,2020,"Objective: Developing algorithms to extract phenotypes from electronic health records (EHRs) can be challenging and time-consuming. We developed PheMap, a high-throughput phenotyping approach that leverages multiple independent, online resources to streamline the phenotyping process within EHRs.Materials and Methods: PheMap is a knowledge base of medical concepts with quantified relationships to phenotypes that have been extracted by natural language processing from publicly available resources. PheMap searches EHRs for each phenotype's quantified concepts and uses them to calculate an individual's probability of having this phenotype. We compared PheMap to clinician-validated phenotyping algorithms from the Electronic Medical Records and Genomics (eMERGE) network for type 2 diabetes mellitus (T2DM), dementia, and hypothyroidism using 84 821 individuals from Vanderbilt Univeresity Medical Center's BioVU DNA Biobank. We implemented PheMap-based phenotypes for genome-wide association studies (GWAS) for T2DM, dementia, and hypothyroidism, and phenome-wide association studies (PheWAS) for variants in FTO, HLA-DRB1, and TCF7L2.Results: In this initial iteration, the PheMap knowledge base contains quantified concepts for 841 disease phenotypes. For T2DM, dementia, and hypothyroidism, the accuracy of the PheMap phenotypes were >97% using a 50% threshold and eMERGE case-control status as a reference standard. In the GWAS analyses, Phe-Mapderived phenotype probabilities replicated 43 of 51 previously reported disease-associated variants for the 3 phenotypes. For 9 of the 11 top associations, PheMap provided an equivalent or more significant P value than eMERGE-based phenotypes. The PheMap-based PheWAS showed comparable or better performance to a traditional phecode-based PheWAS. PheMap is publicly available online.Conclusions: PheMap significantly streamlines the process of extracting research-quality phenotype information from EHRs, with comparable or better performance to current phenotyping approaches.",,1,,,NA,1,,,1,,,"This paper developed WSL methods PheMAP that used mixture models and knowledge sources for phenotyping.  It outperforms rule-based methods that used phecode counts, and it can replicate 43 of 51 reported genetic associations for the 3 phenotypes and produce more significant p-values that emerge-based phenotypes.",Type 2 diabetes mellitus; Dementia; Hypothyroidism,,,,3,NA,NA,NA,NA,NA,NA,3,Vanderbilt University Medical Center,0,,0,,"Mayo Clinic Patient Care & Health Information website, MedlinePlus, MedicineNet, WikiDoc, and Wikipedia",US,,84821 patients,Clinical notes,English,Observations; Diagnosis; Lab results; Procedures; Medications,,ICD; UMLS; Phecode; SNOMED-CT; CPT; LOINC; RxNorm,PheMAP,,,,,,Weakly-supervised,Rule-based algorithm,Chart review,,,750 patients,,750 patients,KnowledgeMap,,Phcode coding,,Accuracy; Precision; NPV; AUROC; Recall,Traditional ML,PheMAP,,,0.999;1;0.999,0.917; 0.552; 0.99,0.969;0.983;0.999,,Phecode coding,Not mentioned,,1;1;0.995,0.75;0.337;0.905,0.75;0.975;0.993,NA,,,,,NA,NA,,,,,,NA,NA,XPRESS,0.702;0.646;0.649,,0.721;0.054;0.145,0.415;0.648;0.32,0.804;0.977;0.941,NA,,NA,NA,NA,NA,,,,0,1,,,Method
8,111,29788308,111,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915826/,Both,PheProb: probabilistic phenotyping using diagnosis codes to improve power for genetic association studies,"Sinnott JA, Cai F, Yu S, Hejblum BP, Hong C, Kohane IS, Liao KP.",J Am Med Inform Assoc,2018,"Objective: Standard approaches for large scale phenotypic screens using electronic health record (EHR) data apply thresholds, such as >= 2 diagnosis codes, to define subjects as having a phenotype. However, the variation in the accuracy of diagnosis codes can impair the power of such screens. Our objective was to develop and evaluate an approach which converts diagnosis codes into a probability of a phenotype (PheProb). We hypothesized that this alternate approach for defining phenotypes would improve power for genetic association studies.Methods: The PheProb approach employs unsupervised clustering to separate patients into 2 groups based on diagnosis codes. Subjects are assigned a probability of having the phenotype based on the number of diagnosis codes. This approach was developed using simulated EHR data and tested in a real world EHR cohort. In the latter, we tested the association between low density lipoprotein cholesterol (LDL-C) genetic risk alleles known for association with hyperlipidemia and hyperlipidemia codes (ICD-9 272.x). PheProb and thresholding approaches were compared.Results: Among n = 1462 subjects in the real world EHR cohort, the threshold-based p-values for association between the genetic risk score (GRS) and hyperlipidemia were 0.126 (>= 1 code), 0.123 (>= 2 codes), and 0.142 (>= 3 codes). The PheProb approach produced the expected significant association between the GRS and hyperlipidemia: p = .001.Conclusions: PheProb improves statistical power for association studies relative to standard thresholding approaches by leveraging information about the phenotype in the billing code counts. The PheProb approach has direct applications where efficient approaches are required, such as in Phenome-Wide Association Studies.",,1,,,NA,1,,,1,,,"This paper proposed a WSL method for preparing phenotypes for the PheWAS study, which outperforms the traditional PheWAS based on ICD-9 codes constructed phenotypes",Rheumatoid arthritis,,,,1,NA,NA,NA,NA,NA,NA,1,Partners/MGB,0,i2b2,0,,Genetic data,US,14985 patients,1462 patients,,,Diagnosis; Demographics,,ICD-9,PheProb,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review,,,1462 in the lipid study; 14985 patients in RA study,,546 patients (RA),,,Phcode coding,,FPR; Recall; Precision; NPV; F-score,Traditional ML,PheProb,,0.83,0.74,0.92,1,0.99,Phecode coding,,0.57,0.4,1,1,0.94,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,0,,,Method
77,112,33746080,112,https://www.medrxiv.org/content/10.1101/2020.06.15.20131458v2,Both,Automatic phenotyping of electronical health record: PheVis algorithm,"Ferté T, Cossin S, Schaeverbeke T, Barnetche T, Jouhet V, Hejblum BP.",J Biomed Inform,2021,"Electronic Health Records (EHRs) often lack reliable annotation of patient medical conditions. Phenorm, an automated unsupervised algorithm to identify patient medical conditions from EHR data, has been developed. PheVis extends PheNorm at the visit resolution. PheVis combines diagnosis codes together with medical concepts extracted from medical notes, incorporating past history in a machine learning approach to provide an interpretable parametric predictor of the occurrence probability for a given medical condition at each visit. PheVis is applied to two real-world use-cases using the datawarehouse of the University Hospital of Bordeaux: i) rheumatoid arthritis, a chronic condition; ii) tuberculosis, an acute condition. Cross-validated AUROC were respectively 0.943 [0.940; 0.945] and 0.987 [0.983; 0.990]. Cross-validated AUPRC were respectively 0.754 [0.744; 0.763] and 0.299 [0.198; 0.403]. PheVis performs well for chronic conditions, though absence of exclusion of past medical history by natural language processing tools limits its performance in French for acute conditions. It achieves significantly better performance than state-of-the-art unsupervised methods especially for chronic diseases.",,1,,,NA,1,,,1,,,This paper extends PheNom by adding the intra-patient correlation between visits phenotype to allow for predicting patient status at each visit,Rheumatoid arthritis; Tuberculosis,,Visit status,,NA,NA,NA,2,NA,NA,NA,2,University Hospital of Bordeaux,0,,0,,Medical textbook; Wikipedia disease specific chapter or page,France,,11461 patients; 299879 visits,Clinical notes,French,Diagnosis,,ICD-10; UMLS,PheVis,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review ,,,9102 patients; 238156 visits,Not set,2359 patients; 62105 visits,IAMsystem,,,,AUROC; AUPRC,,PheVis,0.948; 0.987,,,,,,,,,,,,NA,,,,,NA,NA,L1 and L2 penalized logistic regression,0.957; 0.91,,,,NA,NA,Anchor,0.845; 0.745,,,,,NA,,NA,NA,NA,NA,Weighting,,,0,1,https://CRAN.R-project.org/package=PheVis,,Method
63,113,32548637,113,https://academic.oup.com/jamia/article/27/8/1235/5858306,Both,sureLDA: A multidisease automated phenotyping method for the electronic health record,"Ahuja Y, Zhou D, He Z, Sun J, Castro VM, Gainer V, Murphy SN, Hong C, Cai T.",J Am Med Inform Assoc,2020,"Objective: A major bottleneck hindering utilization of electronic health record data for translational research is the lack of precise phenotype labels. Chart review as well as rule-based and supervised phenotyping approaches require laborious expert input, hampering applicability to studies that require many phenotypes to be defined and labeled de novo. Though International Classification of Diseases codes are often used as surrogates for true labels in this setting, these sometimes suffer from poor specificity. We propose a fully automated topic modeling algorithm to simultaneously annotate multiple phenotypes.Materials and Methods: Surrogate-guided ensemble latent Dirichlet allocation (sureLDA) is a label-free multidimensional phenotyping method. It first uses the PheNorm algorithm to initialize probabilities based on 2 surrogate features for each target phenotype, and then leverages these probabilities to constrain the LDA topic model to generate phenotype-specific topics. Finally, it combines phenotype-feature counts with surrogates via clustering ensemble to yield final phenotype probabilities.Results: sureLDA achieves reliably high accuracy and precision across a range of simulated and real-world phenotypes. Its performance is robust to phenotype prevalence and relative informativeness of surogate vs nonsurrogate features. It also exhibits powerful feature selection properties.Discussion: sureLDA combines attractive properties of PheNorm and LDA to achieve high accuracy and precision robust to diverse phenotype characteristics. It offers particular improvement for phenotypes insufficiently captured by a few surrogate features. Moreover, sureLDA's feature selection ability enables it to handle high feature dimensions and produce interpretable computational phenotypes.Conclusions: sureLDA is well suited toward large-scale electronic health record phenotyping for highly multiphenotype applications such as phenome-wide association studies.",,1,,,NA,1,,,1,,,"This paper developed a WSL sureLDA method that used PheNorm scores as the initial probabilities to the LDA parameters, then used the Gaussian mixture regression on LDA features to yield final phenotype probabilities.  It outperforms PheNorm by leveraging information from non-surrogate features. It is adept at attributing marginally ambiguous features such as cough to the most patient-relevant phenotypes. It also has high robustness across diverse phenotypes. It can also be used to identify subphenotypes",Asthma; Breast cancer; Chronic obstructive pulmonary disease; Depression; Epilepsy; Hypertension; Schizophrenia; Stroke; Type 1 diabetes mellitus; Obesity,,,,10,NA,NA,NA,NA,NA,NA,10,Partners/MGB,0,i2b2,0,,,US,,38023 patients,Clinical notes,English,Diagnosis; Vital signs; Demographics; Procedures,,ICD; CPT; RxNorm,PheNorm; LDA; Gaussian mixture regression,,,,,,Weakly-supervised,ICD codes,Chart review,,,38023 patients,,585 patients,NILE,,,,AUROC; F-score; Label rank loss,Traditional ML,sureLDA,0.938;0.978;0.860;0.947;0.929;0.938;0.924;0.839;0.960;0.830,Not mentioned specifically,,,,,ICD coding,0.834;0.955;0.679;0.889;0.938;0.849;0.836;0.721;0.831;0.713,Not mentioned specifically,,,,NA,,,,,NA,NA,Supervised L1 penalized logistic regression,0.847;0.991;0.741;0.920;0.928;0.888;0.929;0.762;0.837;0.934,,,,NA,NA,MAP,0.935;0.981;0.830;0.935;0.941;0.957;0.943;0.639;0.937;0.835,Not mentioned specifically,,,,NA,,NA,NA,NA,NA,,,,0,0,,CELEHS,Method
18,114,30738949,114,https://www.sciencedirect.com/science/article/pii/S1532046419300401,Both,Feature extraction for phenotyping from semantic and knowledge resources,"Ning W, Chan S, Beam A, Yu M, Geva A, Liao K, Mullen M, Mandl KD, Kohane I, Cai T, Yu S.",J Biomed Inform,2019,"Objective: Phenotyping algorithms can efficiently and accurately identify patients with a specific disease phenotype and construct electronic health records (EHR)-based cohorts for subsequent clinical or genomic studies. Previous studies have introduced unsupervised EHR-based feature selection methods that yielded algorithms with high accuracy. However, those selection methods still require expert intervention to tweak the parameter settings according to the EHR data distribution for each phenotype. To further accelerate the development of phenotyping algorithms, we propose a fully automated and robust unsupervised feature selection method that leverages only publicly available medical knowledge sources, instead of EHR data.Methods: SEmantics-Driven Feature Extraction (SEDFE) collects medical concepts from online knowledge sources as candidate features and gives them vector-form distributional semantic representations derived with neural word embedding and the Unified Medical Language System Metathesaurus. A number of features that are semantically closest and that sufficiently characterize the target phenotype are determined by a linear decomposition criterion and are selected for the final classification algorithm.Results: SEDFE was compared with the EHR-based SAFE algorithm and domain experts on feature selection for the classification of five phenotypes including coronary artery disease, rheumatoid arthritis, Crohn's disease, ulcerative colitis, and pediatric pulmonary arterial hypertension using both supervised and unsupervised approaches. Algorithms yielded by SEDFE achieved comparable accuracy to those yielded by SAFE and expertcurated features. SEDFE is also robust to the input semantic vectors.Conclusion: SEDFE attains satisfying performance in unsupervised feature selection for EHR phenotyping. Both fully automated and EHR-independent, this method promises efficiency and accuracy in developing algorithms for high-throughput phenotyping.",,1,,,NA,1,,,1,,,This paper used word embeddings to aid the feature selection of supervised phenotyping and the word embedding can select more clinical meaningful words.,Coronary artery disease; Rheumatoid arthritis; Crohn's disease; Ulcerative colitis; Pulmonary hypertension,,,,5,NA,NA,NA,NA,NA,NA,5,Partners/MGB; Boston Children's Hospital,1,i2b2,0,,"Wikipedia, Medscape eMedicine, Merck Manuals Professional Edition, Mayo Clinic Diseases and Conditions, and MedlinePlus Medical Encyclopedia",US,,Not mentioned,Clinical notes,English,,,UMLS,PheNorm,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review,Word2vec,Springer biomedical articles,100-300 patients,,100-500 patients,NILE,Transfer learning,,,AUROC,,PheNorm,0.904;  0.940;  0.957;  0.948;  0.944,,,,,,,,,,,,NA,,,,,NA,NA,L1 penalized logistic regression,0.896;0.944;0.945;0.932;0.933,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Method
60,115,32374408,115,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7309227/,Both,Development and validation of phenotype classifiers across multiple sites in the observational health data sciences and informatics network,"Kashyap M, Seneviratne M, Banda JM, Falconer T, Ryu B, Yoo S, Hripcsak G, Shah NH.",J Am Med Inform Assoc,2020,"Objective: Accurate electronic phenotyping is essential to support collaborative observational research. Supervised machine learning methods can be used to train phenotype classifiers in a high-throughput manner using imperfectly labeled data. We developed 10 phenotype classifiers using this approach and evaluated performance across multiple sites within the Observational Health Data Sciences and Informatics (OHDSI) network.Materials and Methods: We constructed classifiers using the Automated PHenotype Routine for Observational Definition, Identification, Training and Evaluation (APHRODITE) R-package, an open-source framework for learning phenotype classifiers using datasets in the Observational Medical Outcomes Partnership Common Data Model. We labeled training data based on the presence of multiple mentions of disease-specific codes. Performance was evaluated on cohorts derived using rule-based definitions and real-world disease prevalence. Classifiers were developed and evaluated across 3 medical centers, including 1 international site.Results: Compared to the multiple mentions labeling heuristic, classifiers showed a mean recall boost of 0.43 with a mean precision loss of 0.17. Performance decreased slightly when classifiers were shared across medical centers, with mean recall and precision decreasing by 0.08 and 0.01, respectively, at a site within the USA, and by 0.18 and 0.10, respectively, at an international site.Discussion and Conclusion: We demonstrate a high-throughput pipeline for constructing and sharing phenotype classifiers across sites within the OHDSI network using APHRODITE. Classifiers exhibit good portability between sites within the USA, however limited portability internationally, indicating that classifier generalizability may have geographic limitations, and, consequently, sharing the classifier-building recipe, rather than the pretrained classifiers, may be more useful for facilitating collaborative observational research.",,1,,,NA,1,,,1,,,"This paper used WSL for phenotyping 10 diseases, and showed that classifier generalizability have geographic limitations. There is also variability in demographics of patients selected as cases by classifier at each site. ",Appendicitis; Type 2 diabetes mellitus; Cataracts; Heart failure; Abdominal aortic aneurysm; Epilepsy; Peripheral arterial disease; Obesity; Glaucoma; Venous thromboembolism,,,,10,NA,NA,NA,NA,NA,NA,10,Stanford Health Care; Columbia University Medical Center; Seoul National University Bundang Hospital,1,OHDSI,0,,,US; Korean,1.8 million patients and 53 million visits; 5.7 million patients; 1.8 million patients,,,,Diagnosis; Medications; Procedures; Lab results,OMOP,SNOMED-CT,Random forest,,,,,,Weakly-supervised,SNOMED-CT codes,Rule-based algorithm,,,10000 patients,,10000 patients,,,SNOMED coding,,Precision; Recall,Traditional ML,Random forest,,,0.99;0.91;0.93;0.56;0.97;0.94;0.91;0.91;0.88;0.22,0.97; 0.6; 0.63; 0.99; 0.53; 0.22; 0.91; 0.29; 0.22; 0.69,,,SNOMED coding,,,1;0.99;0.97;0.94;0.99;1;0.98;1;1;1,0.31;0.24;0.07;0.33;0.22;0.06;0.18;0.2;0.08;0.03,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Undersampling,,,1,0,,,Evaluation
15,116,30476175,116,https://academic.oup.com/jamia/article/26/1/61/5199370,Both,Automated and flexible identification of complex disease: building a model for systemic lupus erythematosus using noisy labeling,"Murray SG, Avati A, Schmajuk G, Yazdany J.",J Am Med Inform Assoc,2019,"Accurate and efficient identification of complex chronic conditions in the electronic health record (EHR) is an important but challenging task that has historically relied on tedious clinician review and oversimplification of the disease. Here we adapt methods that allow for automated noisy labeling of positive and negative controls to create a silver standard for machine learning to automate identification of systemic lupus erythematosus (SLE). Our final model, which includes both structured data as well as text processing of clinical notes, outperformed all existing algorithms for SLE (AUC 0.97). In addition, we demonstrate how the probabilistic outputs of this model can be adapted to various clinical needs, selecting high thresholds when specificity is the priority and lower thresholds when a more inclusive patient population is desired. Deploying a similar methodology to other complex diseases has the potential to dramatically simplify the landscape of population identification in the EHR.",,1,,,NA,1,,,1,,,"This paper used L1 logistic regression to classify systemic lupus erythematosus, a complex chronic disease with noisy labeling",Systemic lupus erythematosus,,,,1,NA,NA,NA,NA,NA,NA,1,University of California San Francisco,0,,0,,,US,,499855 patients,Clinical notes,English,Diagnosis; Medications; Lab results; Demographics,,ICD-9,L1 logistic regression,,,,,,Weakly-supervised,ICD codes,Chart review,,,16757 patients,,300 patients,,,,,AUROC; Recall; Precision; Accuracy,,L1 logistic regression,0.97,,0.85,0.97,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Undersampling,,,0,0,,,Application
90,117,34864210,117,https://www.sciencedirect.com/science/article/abs/pii/S1532046421002987?via%3Dihub,Both,A weakly supervised model for the automated detection of adverse events using clinical notes,"Sanyal J, Rubin D, Banerjee I.",J Biomed Inform,2022,"With clinical trials unable to detect all potential adverse reactions to drugs and medical devices prior to their release into the market, accurate post-market surveillance is critical to ensure their safety and efficacy. Electronic health records (EHR) contain rich observational patient data, making them a valuable source to actively monitor the safety of drugs and devices. While structured EHR data and spontaneous reporting systems often underreport the complexities of patient encounters and outcomes, free-text clinical notes offer greater detail about a patient's status. Previous studies have proposed machine learning methods to detect adverse events from clinical notes, but suffer from manually extracted features, reliance on costly hand-labeled data, and lack of validation on external datasets. To address these challenges, we develop a weakly-supervised machine learning framework for adverse event detection from unstructured clinical notes and evaluate it on insulin pump failure as a test case. Our model accurately detected cases of pump failure with 0.842 PR AUC on the holdout test set and 0.815 PR AUC when validated on an external dataset. Our approach allowed us to leverage a large dataset with far less hand-labeled data and can be easily transferred to additional adverse events for scalable post-market surveillance.",,1,,,NA,1,,,1,,,This paper used XGboost ML model to classify patients with insulin failure and used word embeddings to represent the notes,Insulin pump failure,,,,1,NA,NA,NA,NA,NA,NA,1,MIMIC-III database,0,,1,,,US,51207 patients; 665156 notes; 92.6 million notes,4624 cases,Clinical notes,English,,,ICD-9,XGBoost,,,,,,Weakly-supervised,Keyword search,Chart review,TFIDF; Word2vec; BioBERT,Wikipedia; BooksCorpus; Biomedical literature,2341 notes,,780 notes,,Transfer learning,,,AUPRC; AUROC; F-score,,XGBoost,0.939,0.884,,,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Method
